Original,Normalised
Nel,NelPREART
meço,mezzoSMS
meçço,mezzo
del,del
cammin,cammino
camin,cammino
di,di
nostra,nostro
vita,vita
mi,mi
ritrovai,ritrovare
per,per
una,uno
selva,selva
obscura,oscuro
che,che
la,la
diricta,diritto
via,via
era,essere
smarrita,smarrito
Et,E
quanto,quanto
ad,a
a,a
dir,dire
ddir,dire
quale,quale
qual',quale
era,essere
e,e
cosa,cosa
dura,duro
esta,essere
selva,selva
selvaggia,selvaggio
et,e
aspra,aspro
et,e
forte,forte
che,che
nel,nel
pensier,pensiero
rinnova,rinnovare
la,la
paura,paura
Tanto,Tanto
Tant',tanto
e,e
amara,amaro
che,che
poco,poco
e,essere
piu,più
morte,morte
ma,ma
per,per
tractar,trattare
del,del
ben,bene
ch',che
io,io
vi,vi
trovai,trovare
diro,dire
dell',del
altre,altro
cose,cosa
ch',che
io,io
v',vi
o, avere
scorte,scorgere

